Titulo Original,Transliteración,Titulo en Portugués,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Journal Club Campestre,,,,Portugués,Brasil,Porto Alegre,,Club Campestre,,2000s,XX,XX,20XX,,,,,,/,,deportivo,,UCLA
Judaica : revista de judaismo e cultura,,,Helio Daniel Cordeiro - editor,Portugués,Brasil,São Paulo,"Rua Augusta, 2467",Capital Sefarad ed.,Revista,1997,XX,XX,1997,,,,,,/,monthly,,,NLI; Bib. Nac. Brasil
Judaísmo & cultura  ,,,Helio Daniel Cordeiro - editor,Portugués,Brasil,São Paulo,"Rua Prates , 39",Capital Sefarad ed.,Revista,1997?,XX,XX,1997,?,,,,,/,monthly,cultural,,NLI
Judeu polonez : boletim ,,,,Portugués,Brasil,Rio de janeiro ,,Uniao dos Poloneses Israelitas do Brasil,,,,,,,,,,,,,,,Bib. Nac. Brasil
K! entre nós,,,,Portugués,Brasil,São Paulo,,,,2000s,XX,XX,20XX,,,,,,/,,juventud,online,Harvard; Utexas; Bib. Nac. Brasil
Kadimah shalom,,,,Portugués,Brasil,São Paulo,,Nessim Hamaoui Editor ,,2018,XX,XX,2018,,,,,,/,,,nombre anterior:  Shalom,
Kesher Kehilati,,,,Portugués,Brasil,Porto Alegre,,Sinagoga União Israelita Porto Alegrense,Revista,1995?,XX,XX,1995,?,,,,,/,,comunitaria,,Harvard; UCLA
Kol : boletim informativo da Congregacao Judaica do Brasil ,,,,Portugués,Brasil,Rio de janeiro ,,Congregacao Judaica do Brasil ,Boletin,199?,XX,XX,199X,,,,,,/,,,,Bib. Nac. Brasil
Kol express : a voz do Israelita,,,,Portugués,Brasil,Porto Alegre,,Colégio Israelita Brasileiro,Boletin,2000?,XX,XX,2000,?,,,,,/,,escolar,,Harvard
Kol israel,,,Eliezer Levy,Portugués,Brasil,,,,,8 dec. 1918,12,08,1918,,,,,,/,,sionismo,,
Kol israelita,,,,Portugués,Brasil,Porto Alegre,,Colégio Israelita Brasileiro,,1995,XX,XX,1995,,,,,,/,,escolar,,Harvard
Kol news ,,,Chella Safra - coordinacion editorial,Portugués,Brasil,São Paulo,"Rua Cacapava, 105",Divisão Feminina do Fundo Comunitário ,Boletin,1992?,XX,XX,1992,?,2001,XX,XX,2001,/,quarterly,cultural,,NLI
Kulanu: Judaísmo & Cultura,,,,Portugués,Brasil,São Paulo,,,Boletin,abril-mayo 1997,04-05,XX,1997,~,,,,,/,,,,Harvard; LoC
